ID,Date,Date,Category,Category ID,Exercise Name,Exercise ID,Weight (lbs),Sets,Reps,Volume (lbs),Workout ID,Workout Type,Workout Type ID,E1RM
233,8/10/2022,2022-08-10,Push,1,Overhead Press,3,45,1,8,360,101,Strength,1,57
234,8/10/2022,2022-08-10,Push,1,Overhead Press,3,95,1,6,570,101,Strength,1,114
235,8/10/2022,2022-08-10,Push,1,Overhead Press,3,115,3,6,2070,101,Strength,1,138
236,8/11/2022,2022-08-11,Pull,2,Barbell Row,6,135,4,6,3240,102,Strength,1,162
237,8/12/2022,2022-08-12,Rest,0,Rest,0,0,0,0,0,103,Rest,0,0
238,8/13/2022,2022-08-13,Rest,0,Rest,0,0,0,0,0,104,Rest,0,0
239,8/14/2022,2022-08-14,Push,1,Flat Bench Press,1,45,1,8,360,105,Strength,1,57
240,8/14/2022,2022-08-14,Push,1,Flat Bench Press,1,135,1,5,675,105,Strength,1,157.5
241,8/14/2022,2022-08-14,Push,1,Flat Bench Press,1,195,3,5,2925,105,Strength,1,227.5
242,8/15/2022,2022-08-15,Pull,2,Deadlift,4,135,1,5,675,106,Strength,1,157.5
243,8/15/2022,2022-08-15,Pull,2,Deadlift,4,225,1,5,1125,106,Strength,1,262.5
244,8/15/2022,2022-08-15,Pull,2,Deadlift,4,315,3,5,4725,106,Strength,1,367.5
245,8/16/2022,2022-08-16,Legs,3,Barbell Squat,7,135,1,5,675,107,Strength,1,157.5
246,8/16/2022,2022-08-16,Legs,3,Barbell Squat,7,135,1,8,1080,107,Strength,1,171
247,8/16/2022,2022-08-16,Legs,3,Barbell Squat,7,225,2,8,3600,107,Strength,1,285
248,8/16/2022,2022-08-16,Legs,3,Barbell Squat,7,275,1,5,675,107,Strength,1,320.8333333
249,8/17/2022,2022-08-17,Legs,3,Barbell Squat,7,295,1,3,885,107,Strength,1,324.5
250,8/17/2022,2022-08-17,Push,1,Overhead Press,3,75,1,6,450,108,Strength,1,90
251,8/17/2022,2022-08-17,Push,1,Overhead Press,3,95,3,6,1710,108,Strength,1,114
252,8/18/2022,2022-08-18,Pull,2,Barbell Row,6,135,4,6,3240,109,Strength,1,162
253,8/19/2022,2022-08-19,Rest,0,Rest,0,0,0,0,0,110,Rest,0,0
254,8/20/2022,2022-08-20,Rest,0,Rest,0,0,0,0,0,111,Rest,0,0
255,8/21/2022,2022-08-21,Push,1,Incline Bench Press,2,45,1,8,360,112,Strength,1,57
256,8/21/2022,2022-08-21,Push,1,Incline Bench Press,2,95,1,5,475,112,Strength,1,110.8333333
257,8/21/2022,2022-08-21,Push,1,Incline Bench Press,2,145,3,5,2175,112,Strength,1,169.1666667
258,8/22/2022,2022-08-22,Pull,2,Deadlift,4,135,1,5,675,113,Strength,1,157.5
259,8/22/2022,2022-08-22,Pull,2,Deadlift,4,225,1,5,1125,113,Strength,1,262.5
260,8/22/2022,2022-08-22,Pull,2,Deadlift,4,315,3,5,4725,113,Strength,1,367.5
261,8/23/2022,2022-08-23,Legs,3,Barbell Squat,7,135,1,8,1080,114,Strength,1,171
262,8/23/2022,2022-08-23,Legs,3,Barbell Squat,7,225,2,8,3600,114,Strength,1,285
263,8/23/2022,2022-08-23,Legs,3,Barbell Squat,7,275,1,5,675,114,Strength,1,320.8333333
264,8/23/2022,2022-08-23,Legs,3,Barbell Squat,7,315,1,2,630,114,Strength,1,336
265,8/24/2022,2022-08-24,Push,1,Overhead Press,3,45,1,8,360,115,Strength,1,57
266,8/24/2022,2022-08-24,Push,1,Overhead Press,3,95,1,6,570,115,Strength,1,114
267,8/24/2022,2022-08-24,Push,1,Overhead Press,3,115,3,6,2070,115,Strength,1,138
268,8/25/2022,2022-08-25,Pull,2,Barbell Row,6,135,4,6,3240,116,Strength,1,162
269,8/26/2022,2022-08-26,Rest,0,Rest,0,0,0,0,0,117,Rest,0,0
270,8/27/2022,2022-08-27,Rest,0,Rest,0,0,0,0,0,118,Rest,0,0
